"Month","Monthly sales of product A for a plastics manufacturer"
"1949-01",742
"1949-02",741
"1949-03",896
"1949-04",951
"1949-05",1030
"1949-06",697
"1949-07",700
"1949-08",793
"1949-09",861
"1949-10",1032
"1949-11",776
"1949-12",774
"1950-01",885
"1950-02",938
"1950-03",1126
"1950-04",898
"1950-05",932
"1950-06",1055
"1950-07",1109
"1950-08",1285
"1950-09",1030
"1950-10",1099
"1950-11",1204
"1950-12",1274
"1951-01",1468
"1951-02",1107
"1951-03",1223
"1951-04",1326
"1951-05",1422
"1951-06",1637
"1951-07",1165
"1951-08",1290
"1951-09",1303
"1951-10",1486
"1951-11",1611
"1951-12",1216
"1952-01",1349
"1952-02",1436
"1952-03",1555
"1952-04",1608
"1952-05",1208
"1952-06",1341
"1952-07",1473
"1952-08",1604
"1952-09",1528
"1952-10",1131
"1952-11",1296
"1952-12",1453
"1953-01",1600
"1953-02",1420
"1953-03",971
"1953-04",1066
"1953-05",1170
"1953-06",1403
"1953-07",1119
"1953-08",783
"1953-09",901
"1953-10",1023
