Id,"Month","Value"
1,"1949-01",112
1,"1949-02",118
1,"1949-03",132
1,"1949-04",129
1,"1949-05",121
1,"1949-06",135
1,"1949-07",148
1,"1949-08",148
1,"1949-09",136
1,"1949-10",119
1,"1949-11",104
1,"1949-12",118
1,"1950-01",115
1,"1950-02",126
1,"1950-03",141
1,"1950-04",135
1,"1950-05",125
1,"1950-06",149
1,"1950-07",170
1,"1950-08",170
1,"1950-09",158
1,"1950-10",133
1,"1950-11",114
1,"1950-12",140
1,"1951-01",145
1,"1951-02",150
1,"1951-03",178
1,"1951-04",163
1,"1951-05",172
1,"1951-06",178
1,"1951-07",199
1,"1951-08",199
1,"1951-09",184
1,"1951-10",162
1,"1951-11",146
1,"1951-12",166
1,"1952-01",171
1,"1952-02",180
1,"1952-03",193
1,"1952-04",181
1,"1952-05",183
1,"1952-06",218
1,"1952-07",230
1,"1952-08",242
1,"1952-09",209
1,"1952-10",191
1,"1952-11",172
1,"1952-12",194
1,"1953-01",196
1,"1953-02",196
1,"1953-03",236
1,"1953-04",235
1,"1953-05",229
1,"1953-06",243
1,"1953-07",264
1,"1953-08",272
1,"1953-09",237
1,"1953-10",211
1,"1953-11",180
1,"1953-12",201
1,"1954-01",204
1,"1954-02",188
1,"1954-03",235
1,"1954-04",227
1,"1954-05",234
1,"1954-06",264
1,"1954-07",302
1,"1954-08",293
1,"1954-09",259
1,"1954-10",229
1,"1954-11",203
1,"1954-12",229
1,"1955-01",242
1,"1955-02",233
1,"1955-03",267
1,"1955-04",269
1,"1955-05",270
1,"1955-06",315
1,"1955-07",364
1,"1955-08",347
1,"1955-09",312
1,"1955-10",274
1,"1955-11",237
1,"1955-12",278
1,"1956-01",284
1,"1956-02",277
1,"1956-03",317
1,"1956-04",313
1,"1956-05",318
1,"1956-06",374
1,"1956-07",413
1,"1956-08",405
1,"1956-09",355
1,"1956-10",306
1,"1956-11",271
1,"1956-12",306
1,"1957-01",315
1,"1957-02",301
1,"1957-03",356
1,"1957-04",348
1,"1957-05",355
1,"1957-06",422
1,"1957-07",465
1,"1957-08",467
1,"1957-09",404
1,"1957-10",347
1,"1957-11",305
1,"1957-12",336
1,"1958-01",340
1,"1958-02",318
1,"1958-03",362
1,"1958-04",348
1,"1958-05",363
1,"1958-06",435
1,"1958-07",491
1,"1958-08",505
1,"1958-09",404
1,"1958-10",359
1,"1958-11",310
1,"1958-12",337
1,"1959-01",360
1,"1959-02",342
1,"1959-03",406
1,"1959-04",396
1,"1959-05",420
1,"1959-06",472
1,"1959-07",548
1,"1959-08",559
1,"1959-09",463
1,"1959-10",407
1,"1959-11",362
1,"1959-12",405
1,"1960-01",417
1,"1960-02",391
1,"1960-03",419
1,"1960-04",461
1,"1960-05",472
1,"1960-06",535
1,"1960-07",622
1,"1960-08",606
1,"1960-09",508
1,"1960-10",461
1,"1960-11",390
1,"1960-12",432

International airline passengers: monthly totals in thousands. Jan 49 ? Dec 60

